ticket_id,company_id,channel_id,contact_id,reason
"453","3","0","1616","missing_channel_fk"
"454","3","0","1617","missing_channel_fk"
"455","3","0","2542","missing_channel_fk"
"456","3","0","1618","missing_channel_fk"
"457","3","0","2543","missing_channel_fk"
"458","3","0","2543","missing_channel_fk"
"459","3","0","2544","missing_channel_fk"
"460","3","0","2546","missing_channel_fk"
"461","3","0","2547","missing_channel_fk"
"462","3","0","2548","missing_channel_fk"
"463","3","0","2549","missing_channel_fk"
"464","3","0","2549","missing_channel_fk"
"465","3","0","2551","missing_channel_fk"
"466","3","0","2552","missing_channel_fk"
"467","3","0","2553","missing_channel_fk"
"468","3","0","2554","missing_channel_fk"
"469","3","0","2555","missing_channel_fk"
"470","3","0","2556","missing_channel_fk"
"471","3","0","2557","missing_channel_fk"
"472","3","0","1619","missing_channel_fk"
"473","3","0","1620","missing_channel_fk"
"474","3","0","1621","missing_channel_fk"
"475","3","0","1622","missing_channel_fk"
"476","3","0","1623","missing_channel_fk"
"477","3","0","1625","missing_channel_fk"
"478","3","0","2559","missing_channel_fk"
"479","3","0","2560","missing_channel_fk"
"480","3","0","2561","missing_channel_fk"
"481","3","0","2562","missing_channel_fk"
"482","3","0","1626","missing_channel_fk"
"483","3","0","1627","missing_channel_fk"
"484","3","0","1628","missing_channel_fk"
"485","3","0","1629","missing_channel_fk"
"486","3","0","2563","missing_channel_fk"
"487","3","0","1630","missing_channel_fk"
"488","3","0","2565","missing_channel_fk"
"489","3","0","1632","missing_channel_fk"
"490","3","0","2566","missing_channel_fk"
"491","3","0","2568","missing_channel_fk"
"492","3","0","2569","missing_channel_fk"
"493","3","0","1631","missing_channel_fk"
"494","3","0","2573","missing_channel_fk"
"495","3","0","1633","missing_channel_fk"
"496","3","0","1634","missing_channel_fk"
"497","3","0","1635","missing_channel_fk"
"498","3","0","1637","missing_channel_fk"
"499","3","0","1636","missing_channel_fk"
"500","3","0","1638","missing_channel_fk"
"501","3","0","1639","missing_channel_fk"
"502","3","0","2575","missing_channel_fk"
"503","3","0","2575","missing_channel_fk"
"504","3","0","2576","missing_channel_fk"
"505","3","0","1641","missing_channel_fk"
"506","3","0","1642","missing_channel_fk"
"507","3","0","2577","missing_channel_fk"
"508","3","0","1644","missing_channel_fk"
"509","3","0","2578","missing_channel_fk"
"510","3","0","1646","missing_channel_fk"
"511","3","0","2579","missing_channel_fk"
"512","3","0","1645","missing_channel_fk"
"513","3","0","1647","missing_channel_fk"
"514","3","0","1648","missing_channel_fk"
"515","3","0","1649","missing_channel_fk"
"516","3","0","1650","missing_channel_fk"
"517","3","0","2580","missing_channel_fk"
"518","3","0","2580","missing_channel_fk"
"519","3","0","2580","missing_channel_fk"
"520","3","0","2582","missing_channel_fk"
"521","3","0","2584","missing_channel_fk"
"522","3","0","2585","missing_channel_fk"
"523","3","0","2586","missing_channel_fk"
"524","3","0","2586","missing_channel_fk"
"525","3","0","1652","missing_channel_fk"
"526","3","0","2587","missing_channel_fk"
"527","3","0","2588","missing_channel_fk"
"528","3","0","1518","missing_channel_fk"
"529","3","0","2591","missing_channel_fk"
"530","3","0","2592","missing_channel_fk"
"531","3","0","1669","missing_channel_fk"
"532","3","0","2593","missing_channel_fk"
"533","3","0","2593","missing_channel_fk"
"534","3","0","1653","missing_channel_fk"
"535","3","0","2596","missing_channel_fk"
"536","3","0","2598","missing_channel_fk"
"537","3","0","1654","missing_channel_fk"
"538","3","0","1655","missing_channel_fk"
"539","3","0","1656","missing_channel_fk"
"540","3","0","1657","missing_channel_fk"
"541","3","0","2599","missing_channel_fk"
"542","3","0","2601","missing_channel_fk"
"543","3","0","2602","missing_channel_fk"
"544","3","0","2603","missing_channel_fk"
"545","3","0","2604","missing_channel_fk"
"546","3","0","2605","missing_channel_fk"
"547","3","0","1658","missing_channel_fk"
"548","3","0","1659","missing_channel_fk"
"549","3","0","2606","missing_channel_fk"
"550","3","0","1661","missing_channel_fk"
"551","3","0","1663","missing_channel_fk"
"552","3","0","2607","missing_channel_fk"
"553","3","0","1664","missing_channel_fk"
"554","3","0","2608","missing_channel_fk"
"555","3","0","2610","missing_channel_fk"
"556","3","0","2611","missing_channel_fk"
"557","3","0","1673","missing_channel_fk"
"558","3","0","1673","missing_channel_fk"
"559","3","0","1673","missing_channel_fk"
"560","3","0","1673","missing_channel_fk"
"561","3","0","1662","missing_channel_fk"
"562","3","0","1665","missing_channel_fk"
"563","3","0","1666","missing_channel_fk"
"564","3","0","2612","missing_channel_fk"
"565","3","0","1667","missing_channel_fk"
"566","3","0","1668","missing_channel_fk"
"567","3","0","2613","missing_channel_fk"
"568","3","0","2614","missing_channel_fk"
"569","3","0","1669","missing_channel_fk"
"570","3","0","2615","missing_channel_fk"
"571","3","0","2616","missing_channel_fk"
"572","3","0","1670","missing_channel_fk"
"573","3","0","2617","missing_channel_fk"
"574","3","0","1671","missing_channel_fk"
"575","3","0","2618","missing_channel_fk"
"576","3","0","1672","missing_channel_fk"
"577","3","0","2619","missing_channel_fk"
"578","3","0","1674","missing_channel_fk"
"579","3","0","2620","missing_channel_fk"
"580","3","0","1509","missing_channel_fk"
"581","3","0","2621","missing_channel_fk"
"582","3","0","2622","missing_channel_fk"
"583","3","0","1673","missing_channel_fk"
"584","3","0","1676","missing_channel_fk"
"585","3","0","1678","missing_channel_fk"
"586","3","0","2623","missing_channel_fk"
"587","3","0","2624","missing_channel_fk"
"588","3","0","1679","missing_channel_fk"
"589","3","0","1677","missing_channel_fk"
"590","3","0","2625","missing_channel_fk"
"591","3","0","1680","missing_channel_fk"
"592","3","0","2626","missing_channel_fk"
"593","3","0","1681","missing_channel_fk"
"594","3","0","1683","missing_channel_fk"
"595","3","0","1684","missing_channel_fk"
"596","3","0","1682","missing_channel_fk"
"597","3","0","1550","missing_channel_fk"
"598","3","0","2627","missing_channel_fk"
"599","3","0","1685","missing_channel_fk"
"600","3","0","2629","missing_channel_fk"
"601","3","0","2631","missing_channel_fk"
"602","3","0","1686","missing_channel_fk"
"603","3","0","2632","missing_channel_fk"
"604","3","0","2633","missing_channel_fk"
"605","3","0","2634","missing_channel_fk"
"606","3","0","1688","missing_channel_fk"
"607","3","0","2635","missing_channel_fk"
"608","3","0","2637","missing_channel_fk"
"609","3","0","2638","missing_channel_fk"
"610","3","0","2052","missing_channel_fk"
"611","3","0","1525","missing_channel_fk"
"612","3","0","1525","missing_channel_fk"
"613","3","0","1525","missing_channel_fk"
"614","3","0","1525","missing_channel_fk"
"615","3","0","2640","missing_channel_fk"
"616","3","0","2641","missing_channel_fk"
"617","3","0","2642","missing_channel_fk"
"618","3","0","2643","missing_channel_fk"
"619","3","0","2644","missing_channel_fk"
"620","3","0","2645","missing_channel_fk"
